match_id	match_seq_num	radiant_win	start_time	duration	avg_mmr	num_mmr	lobby_type	game_mode	avg_rank_tier	num_rank_tier	cluster	radiant_team	dire_team
4014092910	3483148640	False	2018-07-19	494	3454	3	7	22	50	8	187	44,5,41,94,70	27,14,11,16,1	
4014091816	3483142612	True	2018-07-19	377	4127	3	0	22	55	4	123	70,71,52,82,109	23,26,98,29,66	
4014090117	3483145446	False	2018-07-19	456	3440	6	0	22	48	5	181	84,4,85,56,22	63,41,23,27,62	
4014088704	3483144189	False	2018-07-19	496	3202	1	0	22	43	2	181	22,101,74,19,1	4,98,104,11,66	
4014086802	3483146605	False	2018-07-19	858	4722	5	0	4	56	6	133	101,56,21,8,71	7,61,59,47,4	
4014086516	3483149618	True	2018-07-19	1032	3830	1	0	22	55	3	171	68,83,19,28,26	10,37,14,91,74	
4014084311	3483147491	True	2018-07-19	864	3346	6	7	22	54	8	134	4,36,104,41,74	14,49,34,93,111	
4014082403	3483146514	True	2018-07-19	901	3750	4	7	22	56	7	135	32,114,26,7,75	33,31,27,37,109	
4014082206	3483147304	False	2018-07-19	1003	3544	1	0	22	54	3	187	21,101,70,1,20	11,59,50,31,44	
4014081801	3483136315	False	2018-07-19	442	3777	6	0	4	50	8	181	46,98,22,105,54	100,13,35,1,44	
4014081705	3483147427	True	2018-07-19	1001	3957	6	7	22	57	7	133	99,32,33,12,14	34,51,74,71,18	
4014081402	3483134580	False	2018-07-19	487	3441	3	0	22	56	6	111	52,92,98,86,26	22,111,14,77,17	
4014080316	3483150001	False	2018-07-19	1313	3885	5	7	22	49	5	138	81,28,114,104,11	93,2,101,5,14	
4014079803	3483143253	False	2018-07-19	901	3850	2	7	22	58	4	151	14,35,6,99,39	56,67,84,23,74	
4014078902	3483148714	True	2018-07-19	1284	3923	3	7	22	56	4	186	69,18,39,14,84	21,27,61,13,12	
4014078315	3483148660	True	2018-07-19	1216	4022	1	7	22	40	4	152	72,82,14,101,9	84,1,35,10,70	
4014074311	3483133714	True	2018-07-19	632	6878	7	7	22	80	8	131	88,79,59,61,64	119,78,41,56,5	
4014074201	3483146541	False	2018-07-19	1490	4423	8	7	22	66	8	184	69,5,32,44,22	27,14,19,70,21	
4014073519	3483140077	True	2018-07-19	1108	3362	1	0	4	43	4	134	59,27,48,84,47	62,114,42,11,104	
4014073400	3483149089	True	2018-07-19	1509	3774	5	7	22	55	6	201	11,14,31,54,5	84,63,85,76,44	
4014073219	3483138648	True	2018-07-19	1022	5613	6	7	22	77	9	135	58,53,3,36,25	45,79,105,70,51	
4014072714	3483147121	True	2018-07-19	1527	3431	3	7	22	51	6	181	93,4,34,98,79	14,68,105,67,44	
4014072612	3483149924	True	2018-07-19	1680	4328	8	7	22	57	8	131	42,38,83,39,90	74,41,14,25,85	
4014072410	3483129394	False	2018-07-19	498	4526	4	0	22	67	3	121	2,14,33,61,114	36,19,84,10,70	
4014071809	3483133458	True	2018-07-19	903	4112	5	0	4	61	6	137	78,39,42,72,47	40,61,77,41,100	
4014071805	3483149706	True	2018-07-19	1739	3092	4	7	22	49	8	185	36,12,9,4,71	23,69,106,2,7	
4014070908	3483150093	False	2018-07-19	1787	3689	4	7	22	55	7	135	17,104,14,94,100	40,2,63,6,27	
4014070516	3483141918	False	2018-07-19	1305	3423	3	7	22	53	6	183	14,95,53,31,35	37,36,56,71,110	
4014070314	3483146290	True	2018-07-19	1625	3559	3	7	22	52	5	202	22,100,58,9,67	93,99,13,101,79	
4014069112	3483149899	False	2018-07-19	1898	3429	1	7	22	53	2	151	17,6,73,105,120	8,90,39,14,22	
4014068504	3483148384	False	2018-07-19	1913	3059	4	0	4	48	2	192	94,63,77,91,10	100,31,96,41,97	
4014068415	3483148368	True	2018-07-19	1826	5010	1	7	22	45	3	151	42,32,5,74,1	67,104,75,14,44	
4014068007	3483147247	True	2018-07-19	1748	3824	1	7	22	58	2	201	14,51,48,106,100	42,36,27,7,97	
4014067903	3483146546	True	2018-07-19	1776	4591	5	7	22	64	7	152	22,75,109,71,61	14,7,1,50,74	
4014067902	3483130070	False	2018-07-19	808	3344	6	7	22	47	9	185	21,106,56,53,14	4,69,50,12,101	
4014067619	3483150339	True	2018-07-19	1995	3384	5	7	22	51	7	134	34,10,71,68,47	67,25,108,1,14	
4014067114	3483149919	True	2018-07-19	1878	4055	3	7	22	59	5	251	114,31,88,100,11	106,73,95,26,10	
